Variable	Value
unarmedFrames	16
unarmedActionFrame	9
unarmedShieldFrames	16
unarmedShieldActionFrame	9
swordFrames	16
swordActionFrame	9
swordShieldFrames	16
swordShieldActionFrame	9
bowFrames	16
bowActionFrame	11
axeFrames	20
axeActionFrame	10
maceFrames	16
maceActionFrame	9
maceShieldFrames	16
maceShieldActionFrame	9
staffFrames	16
staffActionFrame	11
idleFrames	10
walkingFrames	8
blockingFrames	2
deathFrames	20
castingFrames	20
recoveryFrames	6
townIdleFrames	20
townWalkingFrames	8
castingActionFrame	14
