speech	sfx
ChamberOfBoneLore	Sorceror1
HorazonsSanctumLore	Sorceror2
GolemSpellLore	Sorceror3
HorazonsCreatureOfFlameLore	Sorceror4
MortaVespaGaieaInnuminoEvegeenJatanLuaGraton	Sorceror5
GrimspikeLieutenantOfBelialLore	Sorceror6
HorazonsJournal	Sorceror7
YourDeathWillBeAvenged	Sorceror8
RestInPeaceMyFriend	Sorceror9
ValorLore	Sorceror10
HallsOfTheBlindLore	Sorceror11
WarlordOfBloodLore	Sorceror12
ICantUseThisYet	Sorceror13
ICantCarryAnymore	Sorceror14
IHaveNoRoom	Sorceror15
WhereWouldIPutThis	Sorceror16
NoWay	Sorceror17
NotAChance	Sorceror18
IdNeverUseThis	Sorceror19
IdHaveToEquipThat	Sorceror20
ICantMoveThis	Sorceror21
ICantMoveThisYet	Sorceror22
ICantOpenThis	Sorceror23
ICantOpenThisYet	Sorceror24
ICantLiftThis	Sorceror25
ICantLiftThisYet	Sorceror26
ICantCastThatHere	Sorceror27
ICantCastThatYet	Sorceror28
ThatDidntDoAnything	Sorceror29
ICanAlreadyDoThat	Sorceror30
IDontNeedThat	Sorceror31
IDontNeedToDoThat	Sorceror32
IDontWantThat	Sorceror33
IDontHaveASpellReady	Sorceror34
NotEnoughMana	Sorceror35
ThatWouldKillMe	Sorceror36
ICantDoThat	Sorceror37
No	Sorceror38
Yes	Sorceror39
ThatWontWork	Sorceror40
ThatWontWorkHere	Sorceror41
ThatWontWorkYet	Sorceror42
ICantGetThereFromHere	Sorceror43
ItsTooHeavy	Sorceror44
ItsTooBig	Sorceror45
JustWhatIWasLookingFor	Sorceror46
IveGotABadFeelingAboutThis	Sorceror47
GotMilk	Sorceror48
ImNotThirsty	Sorceror49
ImNoMilkmaid	Sorceror50
ICouldBlowUpTheWholeVillage	Sorceror51
YepThatsACowAlright	Sorceror52
TooUghHeavy	Sorceror53
InSpirituSanctum	Sorceror54
PraedictumOtium	Sorceror55
EfficioObitusUtInimicus	Sorceror56
TheEnchantmentIsGone	Sorceror57
OhTooEasy	Sorceror58
BackToTheGrave	Sorceror59
TimeToDie	Sorceror60
ImNotImpressed	Sorceror61
ImSorryDidIBreakYourConcentration	Sorceror62
VengeanceIsMine	Sorceror63
Die	Sorceror64
Yeah	Sorceror65
Ah	Sorceror66
Phew	Sorceror67
Argh	Sorceror68
ArghClang	Sorceror69
Aaaaargh	Sorceror70
OofAh	Sorceror71
HeavyBreathing	Sorceror72
Oh	Sorceror73
Wow	Sorceror74
ThankTheLight	Sorceror75
WhatWasThat	Sorceror76
MmHmm	Sorceror77
Hmm	Sorceror78
UhHuh	Sorceror79
TheSpiritsOfTheDeadAreNowAvenged	Sorceror80
TheTownIsSafeFromTheseFoulSpawn	Sorceror81
RestWellLeoricIllFindYourSon	Sorceror82
YourMadnessEndsHereBetrayer	Sorceror83
YoullLureNoMoreMenToTheirDeaths	Sorceror84
ReturnToHeavenWarriorOfLight	Sorceror85
ICanSeeWhyTheyFearThisWeapon	Sorceror86
ThisMustBeWhatGriswoldWanted	Sorceror87
INeedToGetThisToLachdanan	Sorceror88
INeedToGetThisToGriswold	Sorceror89
IveNeverBeenHereBefore	Sorceror90
MayTheSpiritOfArkaineProtectMe	Sorceror91
ThisIsAPlaceOfGreatPower	Sorceror92
ThisBladeMustBeDestroyed	Sorceror93
YourReignOfPainHasEnded	Sorceror94
NowThatsOneBigMushroom	Sorceror95
TheSmellOfDeathSurroundsMe	Sorceror96
TheSanctityOfThisPlaceHasBeenFouled	Sorceror97
ItsHotDownHere	Sorceror98
IMustBeGettingClose	Sorceror99
MaybeItsLockedFromTheInside	Sorceror100
LooksLikeItsRustedShut	Sorceror101
MaybeTheresAnotherWay	Sorceror102
AuughUh	Sorceror71
