name	power	power.value1	power.value2	minLevel	itemTypes	alignment	doubleChance	useful	minVal	maxVal	multVal
quality	DAMMOD	1	3	2	Bow,Weapon	Any	false	true	100	200	2
maiming	DAMMOD	4	6	10	Bow,Weapon	Any	false	true	1500	3500	5
slaying	DAMMOD	7	10	16	Bow,Weapon	Any	false	true	4000	5000	6
gore	DAMMOD	11	18	25	Weapon	Any	false	true	5100	7000	10
carnage	DAMMOD	19	24	34	Weapon	Any	false	true	8000	12000	12
slaughter	DAMMOD	25	30	35	Weapon	Any	false	true	12100	17000	16
pain	GETHIT_CURSE	2	4	6	Misc,Shield,Armor	Any	false	false	0	0	-4
tears	GETHIT_CURSE	1	1	2	Misc,Shield,Armor	Any	false	false	0	0	-2
health	GETHIT	1	1	2	Misc,Shield,Armor	Any	false	true	200	200	2
protection	GETHIT	2	3	6	Misc,Shield,Armor	Any	false	true	400	800	4
absorption	GETHIT	4	6	12	Misc,Shield,Armor	Any	false	true	1001	2500	10
deflection	GETHIT	7	9	24	Shield,Armor	Any	false	true	3000	8000	15
evasion	GETHIT	10	12	30	Shield,Armor	Any	false	true	8000	12000	20
frailty	STR_CURSE	6	10	3	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-3
weakness	STR_CURSE	1	5	1	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-2
strength	STR	1	5	1	Misc,Bow,Weapon,Shield,Armor	Any	false	true	200	1000	2
might	STR	6	10	5	Misc,Bow,Weapon,Shield,Armor	Any	false	true	1200	2000	3
power	STR	11	15	11	Misc,Bow,Weapon,Shield,Armor	Any	false	true	2200	3000	4
bears	STR	16	20	17	Misc,Bow,Weapon,Armor	Any	false	true	3200	5000	7
trolls	STR	21	30	23	Misc,Weapon	Any	false	true	5200	10000	10
paralysis	DEX_CURSE	6	10	5	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-3
atrophy	DEX_CURSE	1	5	1	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-2
dexterity	DEX	1	5	1	Misc,Bow,Weapon,Shield,Armor	Any	false	true	200	1000	2
skill	DEX	6	10	5	Misc,Bow,Weapon,Shield,Armor	Any	false	true	1200	2000	3
accuracy	DEX	11	15	11	Misc,Bow,Weapon,Shield,Armor	Any	false	true	2200	3000	4
precision	DEX	16	20	17	Misc,Bow,Weapon,Armor	Any	false	true	3200	5000	7
perfection	DEX	21	30	23	Misc,Bow	Any	false	true	5200	10000	10
the fool	MAG_CURSE	6	10	5	Misc,Bow,Staff,Weapon,Shield,Armor	Any	false	false	0	0	-3
dyslexia	MAG_CURSE	1	5	1	Misc,Bow,Staff,Weapon,Shield,Armor	Any	false	false	0	0	-2
magic	MAG	1	5	1	Misc,Bow,Staff,Weapon,Shield,Armor	Any	false	true	200	1000	2
the mind	MAG	6	10	5	Misc,Bow,Staff,Weapon,Shield,Armor	Any	false	true	1200	2000	3
brilliance	MAG	11	15	11	Misc,Bow,Staff,Weapon,Shield,Armor	Any	false	true	2200	3000	4
sorcery	MAG	16	20	17	Misc,Bow,Staff,Weapon,Armor	Any	false	true	3200	5000	7
wizardry	MAG	21	30	23	Misc,Staff	Any	false	true	5200	10000	10
illness	VIT_CURSE	6	10	5	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-3
disease	VIT_CURSE	1	5	1	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-2
vitality	VIT	1	5	1	Misc,Bow,Weapon,Shield,Armor	Any	false	true	200	1000	2
health	VIT	6	10	5	Misc,Bow,Weapon,Shield,Armor	Any	false	true	1200	2000	3
endurance	VIT	11	15	11	Misc,Bow,Weapon,Shield,Armor	Any	false	true	2200	3000	4
vigor	VIT	16	20	17	Misc,Bow,Weapon,Armor	Any	false	true	3200	5000	7
life	VIT	21	30	23	Misc	Any	false	true	5200	10000	10
trouble	ATTRIBS_CURSE	6	10	13	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-10
the pit	ATTRIBS_CURSE	1	5	7	Misc,Bow,Weapon,Shield,Armor	Any	false	false	0	0	-5
tilion	ATTRIBS	1	4	6	Misc,Bow,Weapon,Shield,Armor	Any	false	true	900	5000	6
arien	ATTRIBS	5	8	12	Misc,Bow,Weapon,Shield,Armor	Any	false	true	5800	9000	11
menel	ATTRIBS	9	12	18	Misc,Bow,Weapon,Shield,Armor	Any	false	true	9800	13000	16
giliath	ATTRIBS	13	16	26	Misc,Bow,Weapon,Armor	Any	false	true	13800	22000	24
the maiar	ATTRIBS	17	20	30	Misc,Bow,Weapon	Any	false	true	22800	45000	32
the neeker-breeker	LIFE_CURSE	11	25	6	Misc,Shield,Armor	Any	false	false	0	0	-4
the crow	LIFE_CURSE	1	10	1	Misc,Shield,Armor	Any	false	false	0	0	-2
the fox	LIFE	10	15	1	Misc,Shield,Armor	Any	false	true	100	1000	2
the glutani	LIFE	16	24	6	Misc,Shield,Armor	Any	false	true	1100	2000	4
the wolf	LIFE	25	34	12	Misc,Shield,Armor	Any	false	true	2100	4000	7
the eagle	LIFE	35	44	18	Misc,Shield,Armor	Any	false	true	5100	7000	8
the mumakil	LIFE	45	54	25	Misc,Shield,Armor	Any	false	true	7100	11000	10
the kraken	LIFE	55	64	30	Misc,Shield,Armor	Any	false	true	13100	20000	16
the seadrake	LIFE	65	80	34	Armor	Any	false	true	19100	26000	17
the whale	LIFE	81	100	35	Armor	Any	false	true	25100	35000	18
the valar	ATTRIBS	21	25	35	Misc	Any	false	true	30000	60000	40
este	VIT	36	40	32	Misc	Any	false	true	15100	20000	20
mastery	DEX	31	35	30	Misc	Any	false	true	10100	15000	15
archmagi	MAG	31	35	30	Misc	Any	false	true	10100	15000	15
immortality	VIT	31	35	30	Misc	Any	false	true	10100	15000	15
ents	STR	31	35	30	Misc	Any	false	true	10100	15000	15
the dark	LIGHT_CURSE	4	4	4	Misc,Weapon,Armor	Any	false	false	0	0	-3
the night	LIGHT_CURSE	2	2	2	Misc,Weapon,Armor	Any	false	false	0	0	-2
light	LIGHT	2	2	4	Misc,Weapon,Armor	Any	false	true	750	750	2
radiance	LIGHT	4	4	8	Misc,Weapon,Armor	Any	false	true	1500	1500	3
flame	FIRE_ARROWS	1	3	5	Bow	Any	false	true	4000	6000	4
fire	FIRE_ARROWS	1	6	18	Bow	Any	false	true	8000	12000	8
burning	FIRE_ARROWS	1	12	34	Bow	Any	false	true	12000	20000	13
shock	LIGHT_ARROWS	1	3	5	Bow	Any	false	true	4000	6000	4
lightning	LIGHT_ARROWS	1	6	18	Bow	Any	false	true	8000	12000	8
thunder	LIGHT_ARROWS	1	12	34	Bow	Any	false	true	12000	20000	13
holiness	NOHEALMON	1	1	15	Bow,Staff,Weapon	Any	false	true	3500	4500	10
nessa	DEX	36	40	32	Misc	Any	false	true	15100	20000	20
thorns	THORNS	1	10	8	Misc,Shield,Armor	Any	false	true	1000	1500	3
corruption	NOMANA	0	0	10	Weapon,Shield,Armor	Any	false	false	-1000	-1000	2
calaquendi	LIGHT	6	6	12	Misc	Any	false	true	2000	3000	7
the troll-fist	KNOCKBACK	0	0	5	Bow,Staff,Weapon	Any	false	true	750	750	2
the bat	STEALMANA	3	3	8	Weapon	Any	false	true	7500	7500	3
vampires	STEALMANA	5	5	19	Weapon	Any	false	true	15000	15000	3
the leech	STEALLIFE	3	3	8	Weapon	Any	false	true	7500	7500	3
blood	STEALLIFE	5	5	19	Weapon	Any	false	true	15000	15000	3
avoidance	GETHIT	13	15	31	Shield,Armor	Any	false	true	12100	16000	25
tulkas	STR	36	40	32	Misc	Any	false	true	15100	20000	20
manwe	MAG	36	40	32	Misc	Any	false	true	15100	20000	20
readiness	FASTATTACK	1	1	1	Bow,Staff,Weapon	Any	false	true	2000	2000	2
swiftness	FASTATTACK	2	2	13	Bow,Staff,Weapon	Any	false	true	6000	6000	6
speed	FASTATTACK	3	3	28	Staff,Weapon	Any	false	true	10000	10000	10
haste	FASTATTACK	4	4	31	Staff,Weapon	Any	false	true	30000	30000	30
balance	FASTRECOVER	1	1	1	Misc,Armor	Any	false	true	2000	2000	2
stability	FASTRECOVER	2	2	10	Misc,Armor	Any	false	true	4000	4000	4
harmony	FASTRECOVER	3	3	20	Misc,Armor	Any	false	true	8000	8000	8
blocking	FASTBLOCK	1	1	5	Shield	Any	false	true	4000	4000	4
