txtstrid	txtstr	scrlltxt	sfxnr
TEXT_DEADGUY	Please help....! I barely escaped from....... The Butcher...! He killed.... My wife... My children! I beg of you...... In the name of God......... Avenge them.........	true	WoundedTownsmanOld
TEXT_FARNHAM14	*retching* Listen, listen. I don't even like worms. Don't tell me about yer worms! I don't want yer worms! Nope, no thanks! *slight hiccup/gag* No worms for me.	true	Farnham5
TEXT_FARNHAM15	*SNORE*	true	Farnham6
TEXT_FARNHAM16	Sounds like a good idea to me. Ya better get started right awaaay.	true	Farnham8
TEXT_FARNHAM17	*laugh* Did you ever hear I love that King tale? I love that one.	true	Farnham9
TEXT_FARNHAM18	(Crying) No, you can't make me go back there. I won't let you take me. Too much pain, too many dead. Can't... get the blood out of my eyes... my mouth... *wails*	true	Farnham11
TEXT_FARNHAM19	You're gonna hunt down a demon? Is that what you said? I know I didn't hear that 'cuz nobody hunts down a demon, no! Nobody!	true	Farnham16
TEXT_FARNHAM20	Hey, lemme see that. *blows nose* Thanks!	true	Farnham18
TEXT_FARNHAM21	Hey you there, come here, listen up. You know about the island where angels watch? Pick the right rocks, but you better shield your eyes; shield everything! I know, 'cause I been there and... Mmmm, ale.	true	Farnham22
TEXT_FARNHAM22	I haven't ever see a priest around here. If I did I'd kick him right in the *BBBBUUURRRPPP* Can't even keep a church free of those Hell spawn - bastards. What good are they, those holy men? Liars! Liars!	true	Farnham33
TEXT_GILLIAN11	Wait, before you say anything, my grandmother had a dream with giant, slithering creatures in it. She also saw Pepin running from a house in the town. Do you think this means anything?	true	Gillian5
TEXT_GILLIAN12	This is something that is far beyond anything I have ever learned. I can only think of one person in all of Tristram who could help you... Cain, of course.	true	Gillian7
TEXT_GILLIAN13	How could you even think of going back to that place? What could be so important?	true	Gillian9
TEXT_GILLIAN14	Those are the words of a drunkard. I don't see how they could be true.	true	Gillian14
TEXT_GILLIAN15	I heard that the priest Tremain was going to perform an exorcism, but I didn't go. I don't see why we all have to spend every moment captive to what is lurking underneath our town. I know that many have died at the hands of these monsters, but we need to try to go on. I know that you have come here to free Tristram from the clutches of darkness, and I hope that one day we can live in peace again.	true	Gillian15
TEXT_GILLIAN16	A treasure map? Do you have it with you? Let me see... Hmm, it looks like this is pretty old, and some of the buildings in the town are not on this map. Oh, I wish I could go and look for the treasure with you, but I have to start work soon.	true	Gillian17
TEXT_GILLIAN17	Beg pardon, but have you heard what has been happening? Some of the men have vanished from the village. Dica's sons, Inaius and Roof, claim to have seen strange lights(= blood stars) glowing deep within the woods a few days ago, but no one has heard from them since. I, too, have seen a crimson shimmering from beyond the ash groves, but I've been too afraid to approach it. I fear that Ogden or our healer Pepin may be next. Won't you please find out what has happened?	true	Gillian21
TEXT_GILLIAN18	Have you looked into what has caused the strange lights yet? There are more men missing since last we spoke, and I'm beginning to fear that soon we may all vanish.	true	Gillian22
TEXT_GILLIAN19	Demons that assume the form of beautiful women, you say? That's horrible! Thank the Light that you solved this mystery before any more of our men were lured to their deaths. Thank you for keeping us safe from the powers of darkness once again.	true	Gillian23
TEXT_GILLIAN20	Pray your pardon, but I've something to tell you that you may find interesting. It was the strangest thing. While drinking at the tavern, Farnham was rambling about something called Azurewrath. He also said something about a fallen angel. It was hard to understand him because he was very drunk and disoriented, but I seem to remember something about a key in a barrel. He also kept covering his face and repeating the word 'Izual' over and over again.	true	Gillian24
TEXT_GILLIAN21	You know, now that I think about it... maybe it wasn't a key in a barrel, but a barrel that was the key. Does that make any more sense?	true	Gillian25
TEXT_GILLIAN22	Azurewrath and Izual. I don't know why I didn't remember that story earlier. I've heard it often enough from my grandmother and Cain the Storyteller. Well, I hope that my information was still more of a help than a hindrance. May Light guide you, my friend.	true	Gillian26
TEXT_GILLIAN23	I know that my grandmother’s story seems strange, but the graveyard does have many mysteries surrounding it. It couldn’t hurt you to put something there and see what happens, could it? Maybe you will find out something that will help us all.	true	Gillian28
TEXT_GILLIAN24	My grandmother had a dream about you last night, she said that in her dream you used your bare hands to defeat one of those foul monsters that lurk under the church. When it died, it exploded into fabulous treasure! Although she was a bit frightened by her dream, she was able to describe the beast quite clearly to me.	true	Gillian29
TEXT_GILLIAN25	My grandmother had that exact same dream again. She said you are quite brave and seemed very pleased with your prize.	true	Gillian30
TEXT_GILLIAN26	I really don't know much about the priest Tremain. He never visits the tavern, preferring to keep to the company of Pepin and Cain. Perhaps it is because they, too, have more scholarly pursuits.	true	Gillian38
TEXT_PEPIN12	Roof and Inaius are missing? Light protect us! Is there no place that is safe? Our only hope of returning to a peaceful life rests in you. Please, you must find those boys and bring them home to their family.	true	Pepin4
TEXT_PEPIN13	Horazon was insane. There are forces with which one does not interfere. It would not surprise me if you found only the charred remains of this damned fool.	true	Pepin6
TEXT_PEPIN14	Farnham is often confused, but he speaks a powerful name when the word Izual passes his lips. Cain would be able to tell you in much greater detail the legend of this warrior.	true	Pepin7
TEXT_PEPIN15	I suppose it isn't beyond the realm of possibility if you could bear being in that room again. Your description of the atrocities committed there would be enough to keep me far from it.	true	Pepin9
